,date,ordinal_date,dayofweek,day,start_time,end_time,time_taken,activity,activity status,planned
225,2018-05-14,74,Monday,Monday 14th May 2018,01:00:00,,,1pm: Meeting with Phil,done,True
226,2018-05-14,74,Monday,Monday 14th May 2018,14:00:00,16:00:00,120.0,2-4: 40x H&E airway imaging KB22,done,True
227,2018-05-14,74,Monday,Monday 14th May 2018,,,,Planning for tomorrow,done,False
228,2018-05-14,74,Monday,Monday 14th May 2018,,,,Called SA Path about pneumococcal assay - they have it!,done,False
229,2018-05-15,75,Tuesday,Tuesday 15th May 2018,09:00:00,12:00:00,180.0,9-12: Protein extractions SS02 (Shakti),done,True
230,2018-05-15,75,Tuesday,Tuesday 15th May 2018,13:00:00,16:00:00,180.0,1-4: qPCR TJ20/23,done,False
231,2018-05-15,75,Tuesday,Tuesday 15th May 2018,16:00:00,17:00:00,60.0,4-5: 40x Airway micrographs Lung histo KB22,not done,True
232,2018-05-15,75,Tuesday,Tuesday 15th May 2018,,,,Lab chores,done,False
233,2018-05-16,76,Wednesday,Wednesday 16th May 2018,09:00:00,10:00:00,60.0,"9-10: Move freezer stuff, and fridge stuff Freezer does not hold temperature.",partly done,False
234,2018-05-16,76,Wednesday,Wednesday 16th May 2018,10:00:00,15:00:00,300.0,10-3: SS02 Lung RT-PCR – booked on T100 #1,done,True
235,2018-05-16,76,Wednesday,Wednesday 16th May 2018,15:00:00,17:00:00,120.0,3-5: qPCR TJ20/23,not done,True
236,2018-05-16,76,Wednesday,Wednesday 16th May 2018,,,,Fill-in: oxLDL assay research,not done,True
237,2018-05-16,76,Wednesday,Wednesday 16th May 2018,,,,Lab chores,done,True
238,2018-05-17,77,Thursday,Thursday 17th May 2018,09:00:00,10:00:00,60.0,9-10: Move fridge contents,done,True
239,2018-05-17,77,Thursday,Thursday 17th May 2018,10:00:00,14:00:00,240.0,10-2: KB22 RNA extraction – fat tissue,done,True
240,2018-05-17,77,Thursday,Thursday 17th May 2018,,,,Analyse PCR data ,done,True
241,2018-05-17,77,Thursday,Thursday 17th May 2018,16:00:00,17:00:00,60.0,4-5: KB19 40x Airway thickness,done,False
242,2018-05-18,78,Friday,Friday 18th May 2018,09:00:00,17:00:00,480.0,"9-5: KB19, 40x Airway Collagen imaging, 40x Airway thickness",done,True
243,2018-05-21,81,Monday,Monday 21st May 2018,09:00:00,12:00:00,180.0,"9-12: KB19 40x Airway thickness, 100x inflammation",done,True
244,2018-05-21,81,Monday,Monday 21st May 2018,13:00:00,17:00:00,240.0,1-5: KB22 Fat RNA Extraction,done,True
245,2018-05-22,82,Tuesday,Tuesday 22nd May 2018,09:00:00,13:30:00,270.0,9-1:30: KB22 Fat RNA Extraction,done,True
246,2018-05-22,82,Tuesday,Tuesday 22nd May 2018,14:30:00,16:30:00,120.0,2:30-4:30: TJ20/23 qPCR IFN-a and IFN-lam,done,True
247,2018-05-22,82,Tuesday,Tuesday 22nd May 2018,,,,"Till 5: Lab chores, microscopy",done,True
248,2018-05-23,83,Wednesday,Wednesday 23rd May 2018,,,,"Look for primers: IL-22, MCP1, CCL3, CCL20",done,True
249,2018-05-23,83,Wednesday,Wednesday 23rd May 2018,09:00:00,10:00:00,60.0,9-10: Gradient PCR for new primers,done,True
250,2018-05-23,83,Wednesday,Wednesday 23rd May 2018,13:00:00,17:00:00,240.0,1-5: TJ17 RNA Extraction,done,True
251,2018-05-23,83,Wednesday,Wednesday 23rd May 2018,15:00:00,17:00:00,120.0,3-5: Coat plate for ELISA IL-1β,not done,True
252,2018-05-24,84,Thursday,Thursday 24th. May 2018,09:00:00,11:00:00,120.0,"9-11: qPCR, SS02 lung vs colon IFNy and IL-17a",done,True
253,2018-05-24,84,Thursday,Thursday 24th. May 2018,12:00:00,17:00:00,300.0,12-5: KB19 100x Inflammation images,done,True
254,2018-05-24,84,Thursday,Thursday 24th. May 2018,15:00:00,17:00:00,120.0,3-5: Coat plate for ELISA IL-1β,done,False
255,2018-05-25,85,Friday,Friday 25th May 2018,09:00:00,17:00:00,480.0,9-5: IL-1β ELISA on KB19 samples and BALF (Kurtis/Shakti),done,True
257,2018-05-28,88,Monday,Monday 28th May 2018,09:30:00,13:00:00,210.0,9:30-1: TJ19 RNA extraction (TJ),done,True
258,2018-05-28,88,Monday,Monday 28th May 2018,14:00:00,17:00:00,180.0,"2-5: KB19 Imaging 100x inflammation, and collagen test (Kurtis/Shakti)",done,True
259,2018-05-28,88,Monday,Monday 28th May 2018,,,,2:30: Call about pneumococcal ab ELISA,done,False
260,2018-05-28,88,Monday,Monday 28th May 2018,,,,1:30: Microbiome meeting,done,False
261,2018-05-29,89,Tuesday,Tuesday 29th May 2018,09:00:00,13:00:00,240.0,9-1: TJ22 RNA extraction (TJ) –already done,not done,True
262,2018-05-29,89,Tuesday,Tuesday 29th May 2018,10:00:00,11:00:00,60.0,10-11: Finish KB19 100x inflammation imaging,done,False
263,2018-05-29,89,Tuesday,Tuesday 29th May 2018,11:00:00,12:00:00,60.0,11-12: Decontaminate Fridge,done,False
264,2018-05-29,89,Tuesday,Tuesday 29th May 2018,14:00:00,15:00:00,60.0,2-3: Move freezer contents,done,False
265,2018-05-29,89,Tuesday,Tuesday 29th May 2018,15:00:00,16:00:00,60.0,3-4: Make up new RBCLB,done,False
266,2018-05-29,89,Tuesday,Tuesday 29th May 2018,14:00:00,16:00:00,120.0,"2-4: KB19 PCR Lung IL-22, MCP1, CCL3, CCL20, IL-33 (Kurtis), delayed due to bookings",not done,True
267,2018-05-29,89,Tuesday,Tuesday 29th May 2018,16:00:00,17:00:00,60.0,"4-5: Coat plate for TNFa ELISA, make up buffers",done,True
268,2018-05-30,90,Wednesday,Wednesday 30th May 2018,,,,KB19 ELISA TNFa (Kurtis/Shakti),done,True
269,2018-05-30,90,Wednesday,Wednesday 30th May 2018,,,,Chores,done,False
270,2018-05-30,90,Wednesday,Wednesday 30th May 2018,,,,Decontaminate freezer,done,False
271,2018-05-31,91,Thursday,Thursday 31st May 2018,09:00:00,17:00:00,480.0,9-5: PISA training (Jay),done,False
272,2018-05-31,91,Thursday,Thursday 31st May 2018,09:00:00,11:00:00,120.0,"9-11: KB19 PCR Lung IL-22, MCP1, CCL3, CCL20, IL-33 (Kurtis), rescheduled because of PISA",not done,True
273,2018-05-31,91,Thursday,Thursday 31st May 2018,13:30:00,14:30:00,60.0,1:30-2:30: ELISA prep CXCL1,not done,True
274,2018-05-31,91,Thursday,Thursday 31st May 2018,,,,TNF ELISA analysis,done,False
275,2018-05-31,91,Thursday,Thursday 31st May 2018,,,,Aliquot RBCLB,done,False
276,2018-06-01,92,Friday,Friday 1st June 2018,09:00:00,17:00:00,480.0,9-5: KB19 ELISA CXCL1 (Kurtis/Shakti) – need to talk to Kurtis and Tegan about results first,not done,True
277,2018-06-01,92,Friday,Friday 1st June 2018,09:00:00,12:00:00,180.0,"9-12: KB19 PCR Lung IL-22, MCP1, CCL3, CCL20, IL-33 (Kurtis)",done,False
278,2018-06-01,92,Friday,Friday 1st June 2018,13:00:00,17:00:00,240.0,1-5: Histo imaging for Shakti,done,False
279,2018-06-01,92,Friday,Friday 1st June 2018,,,,Some deliveries processing,done,False
280,2018-06-04,95,Monday,Monday 4th June 2018,,,,Was sick.,note,True
281,2018-06-04,95,Monday,Monday 4th June 2018,09:00:00,10:00:00,60.0,9-10: Post-docs and RAs lab meetings,not done,True
282,2018-06-04,95,Monday,Monday 4th June 2018,09:00:00,17:00:00,480.0,9-5: PISA training,not done,True
283,2018-06-04,95,Monday,Monday 4th June 2018,13:00:00,14:00:00,60.0,1-2: 10x Inflammation imaging (Shakti),not done,True
284,2018-06-05,96,Tuesday,Tuesday 5th June 2018,09:00:00,11:00:00,120.0,"9-11: Ordering, lab chores",done,True
285,2018-06-05,96,Tuesday,Tuesday 5th June 2018,11:00:00,12:00:00,60.0,11-12: Meeting about Macrophage FACS with Nicole Cole (Kurtis),done,True
286,2018-06-05,96,Tuesday,Tuesday 5th June 2018,14:00:00,15:30:00,90.0,2-3:30: Sort out RBCLB issue (Lab),done,True
287,2018-06-05,96,Tuesday,Tuesday 5th June 2018,15:30:00,17:00:00,90.0,3:30-5: PCR analysis (Kurtis),done,True
288,2018-06-06,97,Wednesday,Wednesday 6th June 2018,09:00:00,12:00:00,180.0,9-12: SS02 inflammation Lung tissue images,done,True
289,2018-06-06,97,Wednesday,Wednesday 6th June 2018,15:00:00,16:00:00,60.0,3-4: Meeting about ordering,done,True
290,2018-06-06,97,Wednesday,Wednesday 6th June 2018,15:00:00,17:00:00,120.0,"3-5: KB18 Lung protein and BALF TNFa ELISA prep, doing PISA instead",not done,True
291,2018-06-06,97,Wednesday,Wednesday 6th June 2018,,,,"Plan PCRs – still need to do a few for Kurtis, and a temp curve for MCP1 and CCL20",done,True
292,2018-06-06,97,Wednesday,Wednesday 6th June 2018,,,,"Filter sterilise RBCLB and aliquot, autoclave water and 1x PBS",done,False
293,2018-06-07,98,Thursday,Thursday 7th June 2018,10:00:00,11:00:00,60.0,"10-11: Bring in 3rd year students from lvl 4 for Kurtis’s endpoint, none came",not done,True
294,2018-06-07,98,Thursday,Thursday 7th June 2018,,,,Aliquot PBS,done,False
295,2018-06-07,98,Thursday,Thursday 7th June 2018,,,,Aliquot RBCLB,done,False
296,2018-06-07,98,Thursday,Thursday 7th June 2018,,,,Contact Sigma about Swaroop’s back order – 2 to 3 weeks,done,False
297,2018-06-07,98,Thursday,Thursday 7th June 2018,,,,"Sort out orders, set up excel sheet, check low things, send out email asking about media",partly done,False
298,2018-06-07,98,Thursday,Thursday 7th June 2018,,,,Sort out freezer and fridge moving,done,False
299,2018-06-07,98,Thursday,Thursday 7th June 2018,,,,Figure out containers for organising new fridge,done,False
300,2018-06-08,99,Friday,Friday 8th June 2018,,,,Bring in 3rd year students from lvl 4 for Kurtis’s endpoint,done,True
301,2018-06-08,99,Friday,Friday 8th June 2018,09:00:00,12:00:00,180.0,"9-12: Ordering, other admin",done,False
302,2018-06-08,99,Friday,Friday 8th June 2018,13:00:00,13:40:00,40.0,1-1:40: Identify duplicates in primer database,done,False
303,2018-06-08,99,Friday,Friday 8th June 2018,09:00:00,13:00:00,240.0,9-1: Poo protein extraction (Shakti),not done,True
304,2018-06-08,99,Friday,Friday 8th June 2018,14:00:00,15:30:00,90.0,2-3:30: TJ Mast Cell in lung histology imaging,done,True
305,2018-06-08,99,Friday,Friday 8th June 2018,,,,Do some processing setup for Kurtis Endpoint,done,False
306,2018-06-08,99,Friday,Friday 8th June 2018,16:00:00,17:00:00,60.0,4-5: Temp curve PCR on MCP1 and CCL20,done,True
308,2018-06-11,102,Monday,Monday 11th June 2018,,,,Public Holiday,done,True
309,2018-06-12,103,Tuesday,Tuesday 12th June 2018,09:00:00,10:30:00,90.0,9-10:30: Orders,done,True
310,2018-06-12,103,Tuesday,Tuesday 12th June 2018,10:00:00,15:00:00,300.0,10-3: Poo protein extraction! (Shakti),done,True
311,2018-06-12,103,Tuesday,Tuesday 12th June 2018,15:00:00,17:00:00,120.0,3-5: TJ11 and SS02 microscopy,not done,True
312,2018-06-12,103,Tuesday,Tuesday 12th June 2018,,,,Fat extractions for lung cancer group endpoint,done,False
313,2018-06-13,104,Wednesday,Wednesday 13th June 2018,10:00:00,13:00:00,180.0,10-1: Orders,done,True
314,2018-06-13,104,Wednesday,Wednesday 13th June 2018,11:00:00,19:00:00,480.0,11-7: PISA,done,True
315,2018-06-13,104,Wednesday,Wednesday 13th June 2018,,,,"Follow up on Pneumococcal Ab ELISA at SA Path, more to do",done,False
316,2018-06-13,104,Wednesday,Wednesday 13th June 2018,,,,Organise for tasks while away.,done,False
317,2018-06-14,105,Thursday,Thursday 14th June 2018,09:00:00,17:00:00,480.0,"9-5: PISA, postponed",not done,True
318,2018-06-14,105,Thursday,Thursday 14th June 2018,09:00:00,10:00:00,60.0,9-10: Orders,done,True
319,2018-06-14,105,Thursday,Thursday 14th June 2018,,,,Check RBCLB and PBS stocks – make up MQW and 2x 1x PBS for autoclave,done,False
320,2018-06-14,105,Thursday,Thursday 14th June 2018,,,,"Mediate pickup of old 30mL tubes with Startrack Express – put stickers on, receive call, take cartons downstairs, call security",done,False
321,2018-06-14,105,Thursday,Thursday 14th June 2018,,,,Help Shakti with BCA Assay,done,False
322,2018-06-14,105,Thursday,Thursday 14th June 2018,,,,Decontaminate Bar Fridge – Email Jason,done,False
323,2018-06-14,105,Thursday,Thursday 14th June 2018,,,,"Order tattooing supplies for Brad – sent for quote, awaiting response",done,False
324,2018-06-14,105,Thursday,Thursday 14th June 2018,,,,"Place orders for: Trizol, Pyroneg, Bleach (need to find a supplier…), autoclave tape, ",done,False
325,2018-06-14,105,Thursday,Thursday 14th June 2018,,,,Place ticket for gavage needles – waiting on cost collector from Jay,done,False
326,2018-06-14,105,Thursday,Thursday 14th June 2018,,,,Sometime: TNFa ELISA setup,not done,True
327,2018-06-15,106,Friday,Friday 15th June 2018,09:00:00,17:00:00,480.0,9-5: KB19 TNFa ELISA attempt 2,not done,True
328,2018-06-15,106,Friday,Friday 15th June 2018,09:00:00,10:00:00,60.0,9-10: Orders,done,False
329,2018-06-15,106,Friday,Friday 15th June 2018,11:30:00,12:00:00,30.0,11:30-12: TNFa Ab reconstitution,done,False
330,2018-06-15,106,Friday,Friday 15th June 2018,,,,Setup Tegan with Deliveries and Orders,done,False
331,2018-06-15,106,Friday,Friday 15th June 2018,,,,Write down how you setup order sheet,done,False
332,2018-06-15,106,Friday,Friday 15th June 2018,,,,Wash up chore,done,False
333,2018-06-15,106,Friday,Friday 15th June 2018,,,,Bring up things from downstairs storage,done,False
334,2018-06-15,106,Friday,Friday 15th June 2018,,,,PBS Aliquots,done,False
335,2018-06-15,106,Friday,Friday 15th June 2018,,,,Freezer insurance email,done,False
336,2018-06-15,106,Friday,Friday 15th June 2018,,,,Follow up on Pneumococcal Ab ELISA at SA Path,done,False
337,2018-06-15,106,Friday,Friday 15th June 2018,,,,"Figure out where anti-mouse cd11c should go – in progress, was Foster",done,False
340,2018-06-25,116,Monday,Monday 25th June 2018,08:00:00,16:00:00,480.0,8-4: PISA – cancelled this morning,not done,True
341,2018-06-25,116,Monday,Monday 25th June 2018,08:00:00,12:00:00,240.0,"8-12: Check PBS and RBCLB levels – make up RBCLB today, had to make new 10x which took more time than expected",done,True
342,2018-06-25,116,Monday,Monday 25th June 2018,,,,1 – 1:30: MCP1 and CCL20 primer temperature gradient,done,True
343,2018-06-25,116,Monday,Monday 25th June 2018,14:00:00,15:00:00,60.0,2-3: Talk to Britt about PISA stuff,done,True
344,2018-06-25,116,Monday,Monday 25th June 2018,15:00:00,16:00:00,60.0,"3-4: Organise for rest of week, analyse PCR data",partly done,True
345,2018-06-26,117,Tuesday,Tuesday 26th June 2018,09:00:00,13:00:00,240.0,"9-1: TJ20 Histology – Toludine Blue, Mast Cell hunting",done,True
346,2018-06-26,117,Tuesday,Tuesday 26th June 2018,,,,Make up more PBS bottles – aliquot more PBS. Washing up.,done,False
347,2018-06-26,117,Tuesday,Tuesday 26th June 2018,,,,Analyse qPCR data and make sure I have finished up old stuff,done,False
348,2018-06-26,117,Tuesday,Tuesday 26th June 2018,15:00:00,16:00:00,60.0,3-4: Test new RBCLB aliquots before releasing to general use,done,True
349,2018-06-26,117,Tuesday,Tuesday 26th June 2018,15:00:00,17:00:00,120.0,3-5: KB19 Lung cDNA - MCP1 and CCL20 qPCR (and other genes if Tm allows),not done,True
350,2018-06-27,118,Wednesday,Wednesday 27th June 2018,09:00:00,12:00:00,180.0,"9-12: KB19 Lung cDNA PCR IL-22, IL-33",not done,True
351,2018-06-27,118,Wednesday,Wednesday 27th June 2018,,,,"Search for: KB19 BALF (found!), KB19 lung protein, KB19 lung cDNA (did find RNA in H1, 4, x)",done,False
352,2018-06-27,118,Wednesday,Wednesday 27th June 2018,,,,"Locations they are not: -20C bacto lab freezer, mine or Tegan’s draws in -30C outside RNA lab, -80C H1 2nd shelf,",done,False
353,2018-06-27,118,Wednesday,Wednesday 27th June 2018,,,,Setup ELISA for Friday,done,False
354,2018-06-27,118,Wednesday,Wednesday 27th June 2018,,,,Copy some methods into computer,done,False
355,2018-06-27,118,Wednesday,Wednesday 27th June 2018,13:00:00,17:00:00,240.0,1-5: SS02 Histology – 10x images of lung lesions,done,True
356,2018-06-28,119,Thursday,Thursday 28th June 2018,09:00:00,17:30:00,510.0,9-5:30: PISA,done,True
357,2018-06-28,119,Thursday,Thursday 28th June 2018,,,,"Find KB19 lung protein, KB19 lung cDNA – check top of H1 – Tegan found it! Yay!",done,False
358,2018-06-28,119,Thursday,Thursday 28th June 2018,,,,Sometime in afternoon: Meeting with Phil and Nicole,done,False
359,2018-06-28,119,Thursday,Thursday 28th June 2018,,,,Work request form: Broken centrifuge,done,False
360,2018-06-29,120,Friday,Friday 29th June 2018,09:00:00,16:00:00,420.0,9-4: ELISA KB19 Lung protein and BALF: TNFa,done,True
361,2018-06-29,120,Friday,Friday 29th June 2018,,,,Freezer inventory of TJ’s space to find TJ17 and TJ19 RNA samples,done,False
362,2018-06-29,120,Friday,Friday 29th June 2018,,,,RBCLB aliquots,done,False
363,2018-06-29,120,Friday,Friday 29th June 2018,,,,Check for out-of-order tags,done,False
364,2018-06-29,120,Friday,Friday 29th June 2018,13:00:00,15:00:00,120.0,1-3: SS02 Histology – 10x images of lung lesions,done,True
365,2018-07-02,123,Monday,Monday 2nd July 2018,09:00:00,16:00:00,420.0,9-4: ELISA on TNFa std curve,done,True
366,2018-07-02,123,Monday,Monday 2nd July 2018,,,,"In-between things: Freezer inventory of rest of H1, check for out of order tags (found none), check PBS and RBCLB levels, washing up, help Saima find samples and dry ice",done,True
367,2018-07-02,123,Monday,Monday 2nd July 2018,14:00:00,17:00:00,180.0,"2-5: KB19 Lung cDNA - MCP1, CCL20, IL-13 qPCR Cant find samples",not done,True
368,2018-07-03,124,Tuesday,Tuesday 3rd July 2018,,,,Birthday!,partly done,True
369,2018-07-03,124,Tuesday,Tuesday 3rd July 2018,09:00:00,12:00:00,180.0,9-12: SS02 Histology – 10x images of lung lesions,done,True
370,2018-07-03,124,Tuesday,Tuesday 3rd July 2018,,,,Setup ELISA for CXCL1 postponed,not done,True
371,2018-07-03,124,Tuesday,Tuesday 3rd July 2018,12:00:00,17:00:00,300.0,12-5: RNA extraction TJ17 3dpi,done,False
372,2018-07-03,124,Tuesday,Tuesday 3rd July 2018,,,,Aliquot more PBS,done,False
373,2018-07-03,124,Tuesday,Tuesday 3rd July 2018,15:00:00,17:00:00,120.0,"3-5: KB19 Lung cDNA PCR IL-22, IL-33 Cant find samples",not done,True
374,2018-07-04,125,Wednesday,Wednesday 4th July 2018,09:00:00,12:00:00,180.0,9-12: TJ17 RNA extraction 3dpi part 2,done,False
375,2018-07-04,125,Wednesday,Wednesday 4th July 2018,,,,Decontaminate the megafuge,done,False
376,2018-07-04,125,Wednesday,Wednesday 4th July 2018,,,,Figure out direction to take with ELISAs,done,False
377,2018-07-04,125,Wednesday,Wednesday 4th July 2018,14:30:00,16:00:00,90.0,"2:30-4: SS02 Histology – 10x images of lung lesions, this should be enough time to finish this",done,False
378,2018-07-04,125,Wednesday,Wednesday 4th July 2018,16:00:00,17:00:00,60.0,"4-5: Setup ELISA for CXCL1, wash-up chore",done,False
379,2018-07-04,125,Wednesday,Wednesday 4th July 2018,09:00:00,16:00:00,420.0,"9-4: KB19 Lung protein ELISA CXCL1, postponed",not done,True
380,2018-07-05,126,Thursday,Thursday 5th July 2018,09:00:00,13:00:00,240.0,9-1: RNA extraction TJ17 7dpi,done,False
381,2018-07-05,126,Thursday,Thursday 5th July 2018,,,,Help Swaroop with making sterile Saline aliquots,done,False
382,2018-07-05,126,Thursday,Thursday 5th July 2018,,,,Get alfaxan drug for Alex,done,False
383,2018-07-05,126,Thursday,Thursday 5th July 2018,,,,"Find KB samples for ELISA, Kurtis said he would find these (he did)",done,False
384,2018-07-05,126,Thursday,Thursday 5th July 2018,14:00:00,17:00:00,180.0,2-5: RNA extraction TJ17 7dpi part 2,done,False
385,2018-07-05,126,Thursday,Thursday 5th July 2018,,,,Rack tips,done,False
386,2018-07-06,127,Friday,Friday 6th July 2018,09:00:00,16:00:00,420.0,9-4: KB19 Lung protein ELISA CXCL1 Postponed for unexpected PISA,not done,True
387,2018-07-06,127,Friday,Friday 6th July 2018,,,,"Try and find KB19 lung cDNA, did not find.",partly done,True
388,2018-07-06,127,Friday,Friday 6th July 2018,09:00:00,18:30:00,570.0,9-6:30: PISA,done,False
389,2018-07-06,127,Friday,Friday 6th July 2018,,,,"Rack tips, make KB07 lung protein master plate",done,False
390,2018-07-09,130,Monday,Monday 9th July 2018,09:00:00,17:00:00,480.0,9-5: KB19 lung CXCL1 ELISA,done,True
391,2018-07-09,130,Monday,Monday 9th July 2018,,,,"Look for TJ19 RNA, didn’t find yet",done,True
392,2018-07-09,130,Monday,Monday 9th July 2018,,,,"Pack tips, wash up, check RBCLB and PBS levels, prep for RT-PCR and qPCR",done,False
393,2018-07-10,131,Tuesday,Tuesday 10th July 2018,09:00:00,13:00:00,240.0,9-1: RT-PCR on TJ17 3/7dpi RNA,done,True
394,2018-07-10,131,Tuesday,Tuesday 10th July 2018,,,,"Look through rest of column 1 in Jay’s freezer for TJ19 RNA. Checked: 1,2, ,4, ",done,False
395,2018-07-10,131,Tuesday,Tuesday 10th July 2018,,,,Put PISA061 in stick number 6 in holder number 6,done,False
396,2018-07-10,131,Tuesday,Tuesday 10th July 2018,,,,"Analyse CXCL1 ELISA result, RT-PCR Labels",done,False
397,2018-07-10,131,Tuesday,Tuesday 10th July 2018,14:00:00,17:00:00,180.0,2-5: TJ17 3/7dpi cDNA qPCR IFNBeta and IFNGamma,done,True
398,2018-07-11,132,Wednesday,Wednesday 11th July 2018,09:00:00,11:00:00,120.0,9-11: TJ17 3/7dpi cDNA qPCR IFNa and IFNlambda,done,True
399,2018-07-11,132,Wednesday,Wednesday 11th July 2018,12:00:00,15:00:00,180.0,12-3: Protein extraction for Kurtis,done,False
400,2018-07-11,132,Wednesday,Wednesday 11th July 2018,15:00:00,17:00:00,120.0,3-5: PCR for Alex,done,False
401,2018-07-12,133,Thursday,Thursday 12th July 2018,,,,9-10 and 3-4: Sort out lab book and analyse data for Kurtis and TJ experiments I did.,done,False
402,2018-07-12,133,Thursday,Thursday 12th July 2018,,,,Look through rest of column 1 in Jay’s freezer for TJ19 RNA.,done,False
403,2018-07-12,133,Thursday,Thursday 12th July 2018,10:30:00,14:00:00,210.0,10:30-2: Colon macrophage isolation trial #1,not done,True
404,2018-07-12,133,Thursday,Thursday 12th July 2018,10:00:00,13:30:00,210.0,10-1:30: Labelling for Chantal’s endpoint ,done,False
405,2018-07-12,133,Thursday,Thursday 12th July 2018,14:00:00,15:00:00,60.0,2-3: PCR for Alex CD04 Air vs Smk HPRT and Cth,done,False
406,2018-07-12,133,Thursday,Thursday 12th July 2018,,,,Prep for qPCR tomorrow,done,False
407,2018-07-12,133,Thursday,Thursday 12th July 2018,16:00:00,17:00:00,60.0,4-5: SS02 lung histo lesion scoring,done,False
408,2018-07-13,134,Friday,Friday 13th July 2018,09:00:00,17:00:00,480.0,"9-5: KB19 Lung protein ELISA IL-18, ",not done,True
409,2018-07-13,134,Friday,Friday 13th July 2018,09:00:00,10:00:00,60.0,9-10: Meeting with Khadem about Ferro study and PAO1 growth,done,False
410,2018-07-13,134,Friday,Friday 13th July 2018,,,,"Wash-up, PBS aliquots, LN2 for endpoint",done,False
411,2018-07-13,134,Friday,Friday 13th July 2018,10:00:00,14:00:00,240.0,10-2: SS02 lung histo lesion scoring,done,False
412,2018-07-13,134,Friday,Friday 13th July 2018,14:00:00,14:30:00,30.0,2-2:30: Meeting with Phil,done,False
413,2018-07-13,134,Friday,Friday 13th July 2018,15:00:00,17:00:00,120.0,3-5: PCR for Bec Vanders,done,False
415,2018-07-16,137,Monday,Monday 16th July 2018,09:00:00,10:00:00,60.0,9-10: lab meeting,done,True
416,2018-07-16,137,Monday,Monday 16th July 2018,,,,Deliveries,done,True
417,2018-07-16,137,Monday,Monday 16th July 2018,,,,PCR Analysis for Bec,done,True
418,2018-07-16,137,Monday,Monday 16th July 2018,,,,General organising of things,done,True
419,2018-07-16,137,Monday,Monday 16th July 2018,10:30:00,14:30:00,240.0,10:30-2:30: Protein extractions KB20,done,True
420,2018-07-16,137,Monday,Monday 16th July 2018,15:30:00,16:30:00,60.0,3:30-4:30: Toludine Blue Mast Cell scoring for TJ,done,True
421,2018-07-16,137,Monday,Monday 16th July 2018,16:30:00,17:00:00,30.0,4:30-5: Shadow Khadem for O/N of PAO1,done,True
422,2018-07-17,138,Tuesday,Tuesday 17th July 2018,,,,"Check if on Khadem’s ethics, book hood for known PISA days, wash up",done,False
423,2018-07-17,138,Tuesday,Tuesday 17th July 2018,09:00:00,10:00:00,60.0,9-10: Khadem setting up hormone exposure culture PAO1,done,True
424,2018-07-17,138,Tuesday,Tuesday 17th July 2018,10:00:00,12:00:00,120.0,10-12: TJ20 Mast Cell Toludine blue stain scoring,done,False
425,2018-07-17,138,Tuesday,Tuesday 17th July 2018,13:00:00,17:00:00,240.0,1-5: KB20 RNA extraction lung tissue,done,True
426,2018-07-18,139,Wednesday,Wednesday 18th July 2018,09:00:00,11:00:00,120.0,"9-11: Shadow Khadem for exponential phase PAO1 culturing, and intra-nasals",done,True
427,2018-07-18,139,Wednesday,Wednesday 18th July 2018,,,,Check @10:30 for cuvette reading,done,True
428,2018-07-18,139,Wednesday,Wednesday 18th July 2018,10:00:00,13:00:00,180.0,10-1: TJ20 Mast Cell Toludine blue stain scoring – done!,done,True
429,2018-07-18,139,Wednesday,Wednesday 18th July 2018,13:00:00,15:00:00,120.0,1-3: KB20 Lung protein BCA assay,done,True
430,2018-07-18,139,Wednesday,Wednesday 18th July 2018,15:00:00,16:00:00,60.0,3-4: Shakti Histo lesion scoring – take more images,done,True
431,2018-07-18,139,Wednesday,Wednesday 18th July 2018,,,,Give Bernie’s data to Nicole,done,True
432,2018-07-19,140,Thursday,Thursday 19th July 2018,08:30:00,17:30:00,540.0,8:30-5:30: PISA056 S-C ,done,True
433,2018-07-19,140,Thursday,Thursday 19th July 2018,,,,"Fill tips, check RBCLB and PBS levels, wash up",done,True
434,2018-07-19,140,Thursday,Thursday 19th July 2018,,,,Make slide boxes and put PISA slides in them,done,False
435,2018-07-20,141,Friday,Friday 20th July 2018,,,,Finish counting lesions in SS02 lung histo,done,False
436,2018-07-20,141,Friday,Friday 20th July 2018,09:00:00,12:00:00,180.0,"9-12: Test RBCLB properly, take deliveries",done,False
437,2018-07-20,141,Friday,Friday 20th July 2018,12:00:00,13:00:00,60.0,12-1: Meeting about Grace’s Mice usage,done,True
438,2018-07-20,141,Friday,Friday 20th July 2018,13:00:00,17:00:00,240.0,1-5: GL06 RNA extraction,done,False
440,2018-07-23,144,Monday,Monday 23rd July 2018,09:00:00,10:00:00,60.0,9-10: Lab meeting,done,True
441,2018-07-23,144,Monday,Monday 23rd July 2018,10:00:00,14:00:00,240.0,10-2: GL06 RT-PCR,done,True
442,2018-07-23,144,Monday,Monday 23rd July 2018,15:00:00,15:30:00,30.0,3-3:30: RBCLB and PBS aliquots postponed as reagents not autoclaved,not done,True
443,2018-07-23,144,Monday,Monday 23rd July 2018,,,,Sort PISA cytospin slides,done,False
444,2018-07-23,144,Monday,Monday 23rd July 2018,15:30:00,17:00:00,90.0,3:30-5: MMP7 gradient temp curve – also run RV014 A/S vs SS02 A/S HPRT target @ 61C,done,True
445,2018-07-23,144,Monday,Monday 23rd July 2018,,,,"When free: Get Bernie’s Aperio Data from Aperio Lab – tried, was unable to access, have sent email",partly done,True
