,date,ordinal_date,dayofweek,day,time taken,start_time,end_time,time_taken,activity,strike,black,red,green,blue,activity status,planned
323,2018-06-14,105,Thursday,Thursday 14th June 2018,,,,,"Order tattooing supplies for Brad – sent for quote, awaiting response",True,False,False,False,True,done,False
324,2018-06-14,105,Thursday,Thursday 14th June 2018,Place orders for,,,,"Place orders for: Trizol, Pyroneg, Bleach (need to find a supplier…), autoclave tape, ",True,False,False,False,True,done,False
325,2018-06-14,105,Thursday,Thursday 14th June 2018,,,,,Place ticket for gavage needles – waiting on cost collector from Jay,True,False,False,False,True,done,False
326,2018-06-14,105,Thursday,Thursday 14th June 2018,Sometime,,,,Sometime: TNFa ELISA setup,False,False,True,False,False,not done,True
327,2018-06-15,106,Friday,Friday 15th June 2018,9-5,09:00:00,17:00:00,480.0,9-5: KB19 TNFa ELISA attempt 2,False,False,True,False,False,not done,True
328,2018-06-15,106,Friday,Friday 15th June 2018,9-10,09:00:00,10:00:00,60.0,9-10: Orders,True,False,False,False,True,done,False
329,2018-06-15,106,Friday,Friday 15th June 2018,11:30-12,11:30:00,12:00:00,30.0,11:30-12: TNFa Ab reconstitution,True,False,False,False,True,done,False
330,2018-06-15,106,Friday,Friday 15th June 2018,,,,,Setup Tegan with Deliveries and Orders,True,False,False,False,True,done,False
331,2018-06-15,106,Friday,Friday 15th June 2018,,,,,Write down how you setup order sheet,True,False,False,False,True,done,False
332,2018-06-15,106,Friday,Friday 15th June 2018,,,,,Wash up chore,True,False,False,False,True,done,False
333,2018-06-15,106,Friday,Friday 15th June 2018,,,,,Bring up things from downstairs storage,True,False,False,False,True,done,False
334,2018-06-15,106,Friday,Friday 15th June 2018,,,,,PBS Aliquots,True,False,False,False,True,done,False
335,2018-06-15,106,Friday,Friday 15th June 2018,,,,,Freezer insurance email,True,False,False,False,True,done,False
336,2018-06-15,106,Friday,Friday 15th June 2018,,,,,Follow up on Pneumococcal Ab ELISA at SA Path,True,False,False,False,True,done,False
337,2018-06-15,106,Friday,Friday 15th June 2018,,,,,"Figure out where anti-mouse cd11c should go – in progress, was Foster",True,False,False,False,True,done,False
340,2018-06-25,116,Monday,Monday 25th June 2018,8-4,08:00:00,16:00:00,480.0,8-4: PISA – cancelled this morning,False,True,True,False,False,not done,True
341,2018-06-25,116,Monday,Monday 25th June 2018,8-12,08:00:00,12:00:00,240.0,"8-12: Check PBS and RBCLB levels – make up RBCLB today, had to make new 10x which took more time than expected",True,True,False,False,False,done,True
342,2018-06-25,116,Monday,Monday 25th June 2018,1 – 1:30,,,,1 – 1:30: MCP1 and CCL20 primer temperature gradient,True,True,False,False,False,done,True
343,2018-06-25,116,Monday,Monday 25th June 2018,2-3,14:00:00,15:00:00,60.0,2-3: Talk to Britt about PISA stuff,True,True,False,False,False,done,True
344,2018-06-25,116,Monday,Monday 25th June 2018,3-4,15:00:00,16:00:00,60.0,"3-4: Organise for rest of week, analyse PCR data",True,True,True,False,False,partly done,True
345,2018-06-26,117,Tuesday,Tuesday 26th June 2018,9-1,09:00:00,13:00:00,240.0,"9-1: TJ20 Histology – Toludine Blue, Mast Cell hunting",True,True,False,False,False,done,True
346,2018-06-26,117,Tuesday,Tuesday 26th June 2018,,,,,Make up more PBS bottles – aliquot more PBS. Washing up.,True,False,False,False,True,done,False
347,2018-06-26,117,Tuesday,Tuesday 26th June 2018,,,,,Analyse qPCR data and make sure I have finished up old stuff,True,False,False,False,True,done,False
348,2018-06-26,117,Tuesday,Tuesday 26th June 2018,3-4,15:00:00,16:00:00,60.0,3-4: Test new RBCLB aliquots before releasing to general use,True,True,False,False,False,done,True
349,2018-06-26,117,Tuesday,Tuesday 26th June 2018,3-5,15:00:00,17:00:00,120.0,3-5: KB19 Lung cDNA - MCP1 and CCL20 qPCR (and other genes if Tm allows),False,False,True,False,False,not done,True
350,2018-06-27,118,Wednesday,Wednesday 27th June 2018,9-12,09:00:00,12:00:00,180.0,"9-12: KB19 Lung cDNA PCR IL-22, IL-33",False,False,True,False,False,not done,True
351,2018-06-27,118,Wednesday,Wednesday 27th June 2018,Search for,,,,"Search for: KB19 BALF (found!), KB19 lung protein, KB19 lung cDNA (did find RNA in H1, 4, x)",True,False,False,False,True,done,False
352,2018-06-27,118,Wednesday,Wednesday 27th June 2018,Locations they are not,,,,"Locations they are not: -20C bacto lab freezer, mine or Tegan’s draws in -30C outside RNA lab, -80C H1 2nd shelf,",True,False,False,False,True,done,False
353,2018-06-27,118,Wednesday,Wednesday 27th June 2018,,,,,Setup ELISA for Friday,True,False,False,False,True,done,False
354,2018-06-27,118,Wednesday,Wednesday 27th June 2018,,,,,Copy some methods into computer,True,False,False,False,True,done,False
355,2018-06-27,118,Wednesday,Wednesday 27th June 2018,1-5,13:00:00,17:00:00,240.0,1-5: SS02 Histology – 10x images of lung lesions,True,True,False,False,False,done,True
356,2018-06-28,119,Thursday,Thursday 28th June 2018,9-5:30,09:00:00,17:30:00,510.0,9-5:30: PISA,True,True,False,False,False,done,True
357,2018-06-28,119,Thursday,Thursday 28th June 2018,,,,,"Find KB19 lung protein, KB19 lung cDNA – check top of H1 – Tegan found it! Yay!",True,True,False,False,True,done,False
358,2018-06-28,119,Thursday,Thursday 28th June 2018,Sometime in afternoon,,,,Sometime in afternoon: Meeting with Phil and Nicole,True,False,False,False,True,done,False
359,2018-06-28,119,Thursday,Thursday 28th June 2018,Work request form,,,,Work request form: Broken centrifuge,True,False,False,False,True,done,False
360,2018-06-29,120,Friday,Friday 29th June 2018,9-4,09:00:00,16:00:00,420.0,9-4: ELISA KB19 Lung protein and BALF: TNFa,True,True,False,False,False,done,True
361,2018-06-29,120,Friday,Friday 29th June 2018,,,,,Freezer inventory of TJ’s space to find TJ17 and TJ19 RNA samples,True,False,False,False,True,done,False
362,2018-06-29,120,Friday,Friday 29th June 2018,,,,,RBCLB aliquots,True,False,False,False,True,done,False
363,2018-06-29,120,Friday,Friday 29th June 2018,,,,,Check for out-of-order tags,False,False,False,False,True,done,False
364,2018-06-29,120,Friday,Friday 29th June 2018,1-3,13:00:00,15:00:00,120.0,1-3: SS02 Histology – 10x images of lung lesions,False,True,False,False,False,done,True
365,2018-07-02,123,Monday,Monday 2nd July 2018,9-4,09:00:00,16:00:00,420.0,9-4: ELISA on TNFa std curve,True,True,False,False,False,done,True
366,2018-07-02,123,Monday,Monday 2nd July 2018,In-between things,,,,"In-between things: Freezer inventory of rest of H1, check for out of order tags (found none), check PBS and RBCLB levels, washing up, help Saima find samples and dry ice",True,True,False,False,False,done,True
367,2018-07-02,123,Monday,Monday 2nd July 2018,2-5,14:00:00,17:00:00,180.0,"2-5: KB19 Lung cDNA - MCP1, CCL20, IL-13 qPCR Cant find samples",False,True,True,False,False,not done,True
368,2018-07-03,124,Tuesday,Tuesday 3rd July 2018,,,,,Birthday!,False,False,False,True,False,partly done,True
369,2018-07-03,124,Tuesday,Tuesday 3rd July 2018,9-12,09:00:00,12:00:00,180.0,9-12: SS02 Histology – 10x images of lung lesions,True,True,False,False,False,done,True
370,2018-07-03,124,Tuesday,Tuesday 3rd July 2018,,,,,Setup ELISA for CXCL1 postponed,False,True,True,False,False,not done,True
371,2018-07-03,124,Tuesday,Tuesday 3rd July 2018,12-5,12:00:00,17:00:00,300.0,12-5: RNA extraction TJ17 3dpi,True,False,False,False,True,done,False
372,2018-07-03,124,Tuesday,Tuesday 3rd July 2018,,,,,Aliquot more PBS,True,False,False,False,True,done,False
373,2018-07-03,124,Tuesday,Tuesday 3rd July 2018,3-5,15:00:00,17:00:00,120.0,"3-5: KB19 Lung cDNA PCR IL-22, IL-33 Cant find samples",False,True,True,False,False,not done,True
374,2018-07-04,125,Wednesday,Wednesday 4th July 2018,9-12,09:00:00,12:00:00,180.0,9-12: TJ17 RNA extraction 3dpi part 2,True,False,False,False,True,done,False
375,2018-07-04,125,Wednesday,Wednesday 4th July 2018,,,,,Decontaminate the megafuge,True,False,False,False,True,done,False
376,2018-07-04,125,Wednesday,Wednesday 4th July 2018,,,,,Figure out direction to take with ELISAs,True,False,False,False,True,done,False
377,2018-07-04,125,Wednesday,Wednesday 4th July 2018,2:30-4,14:30:00,16:00:00,90.0,"2:30-4: SS02 Histology – 10x images of lung lesions, this should be enough time to finish this",True,False,False,False,True,done,False
378,2018-07-04,125,Wednesday,Wednesday 4th July 2018,4-5,16:00:00,17:00:00,60.0,"4-5: Setup ELISA for CXCL1, wash-up chore",False,False,False,False,True,done,False
379,2018-07-04,125,Wednesday,Wednesday 4th July 2018,9-4,09:00:00,16:00:00,420.0,"9-4: KB19 Lung protein ELISA CXCL1, postponed",False,True,True,False,False,not done,True
380,2018-07-05,126,Thursday,Thursday 5th July 2018,9-1,09:00:00,13:00:00,240.0,9-1: RNA extraction TJ17 7dpi,True,False,False,False,True,done,False
381,2018-07-05,126,Thursday,Thursday 5th July 2018,,,,,Help Swaroop with making sterile Saline aliquots,True,False,False,False,True,done,False
382,2018-07-05,126,Thursday,Thursday 5th July 2018,,,,,Get alfaxan drug for Alex,True,False,False,False,True,done,False
383,2018-07-05,126,Thursday,Thursday 5th July 2018,,,,,"Find KB samples for ELISA, Kurtis said he would find these (he did)",True,False,False,False,True,done,False
384,2018-07-05,126,Thursday,Thursday 5th July 2018,2-5,14:00:00,17:00:00,180.0,2-5: RNA extraction TJ17 7dpi part 2,True,False,False,False,True,done,False
385,2018-07-05,126,Thursday,Thursday 5th July 2018,,,,,Rack tips,True,False,False,False,True,done,False
386,2018-07-06,127,Friday,Friday 6th July 2018,9-4,09:00:00,16:00:00,420.0,9-4: KB19 Lung protein ELISA CXCL1 Postponed for unexpected PISA,False,True,True,False,False,not done,True
387,2018-07-06,127,Friday,Friday 6th July 2018,,,,,"Try and find KB19 lung cDNA, did not find.",False,True,False,True,False,partly done,True
388,2018-07-06,127,Friday,Friday 6th July 2018,9-6:30,09:00:00,18:30:00,570.0,9-6:30: PISA,True,False,False,False,True,done,False
389,2018-07-06,127,Friday,Friday 6th July 2018,,,,,"Rack tips, make KB07 lung protein master plate",True,False,False,False,True,done,False
390,2018-07-09,130,Monday,Monday 9th July 2018,9-5,09:00:00,17:00:00,480.0,9-5: KB19 lung CXCL1 ELISA,True,True,False,False,False,done,True
391,2018-07-09,130,Monday,Monday 9th July 2018,,,,,"Look for TJ19 RNA, didn’t find yet",True,True,False,False,False,done,True
392,2018-07-09,130,Monday,Monday 9th July 2018,,,,,"Pack tips, wash up, check RBCLB and PBS levels, prep for RT-PCR and qPCR",True,False,False,False,True,done,False
393,2018-07-10,131,Tuesday,Tuesday 10th July 2018,9-1,09:00:00,13:00:00,240.0,9-1: RT-PCR on TJ17 3/7dpi RNA,True,True,False,False,False,done,True
394,2018-07-10,131,Tuesday,Tuesday 10th July 2018,Look through rest of column 1 in Jay’s freezer for TJ19 RNA. Checked,,,,"Look through rest of column 1 in Jay’s freezer for TJ19 RNA. Checked: 1,2, ,4, ",False,False,False,False,True,done,False
395,2018-07-10,131,Tuesday,Tuesday 10th July 2018,,,,,Put PISA061 in stick number 6 in holder number 6,True,False,False,False,True,done,False
396,2018-07-10,131,Tuesday,Tuesday 10th July 2018,,,,,"Analyse CXCL1 ELISA result, RT-PCR Labels",True,False,False,False,True,done,False
397,2018-07-10,131,Tuesday,Tuesday 10th July 2018,2-5,14:00:00,17:00:00,180.0,2-5: TJ17 3/7dpi cDNA qPCR IFNBeta and IFNGamma,True,True,False,False,False,done,True
398,2018-07-11,132,Wednesday,Wednesday 11th July 2018,9-11,09:00:00,11:00:00,120.0,9-11: TJ17 3/7dpi cDNA qPCR IFNa and IFNlambda,True,True,False,False,False,done,True
399,2018-07-11,132,Wednesday,Wednesday 11th July 2018,12-3,12:00:00,15:00:00,180.0,12-3: Protein extraction for Kurtis,True,False,False,False,True,done,False
400,2018-07-11,132,Wednesday,Wednesday 11th July 2018,3-5,15:00:00,17:00:00,120.0,3-5: PCR for Alex,True,False,False,False,True,done,False
401,2018-07-12,133,Thursday,Thursday 12th July 2018,9-10 and 3-4,,,,9-10 and 3-4: Sort out lab book and analyse data for Kurtis and TJ experiments I did.,True,False,False,False,True,done,False
402,2018-07-12,133,Thursday,Thursday 12th July 2018,,,,,Look through rest of column 1 in Jay’s freezer for TJ19 RNA.,True,False,False,False,True,done,False
403,2018-07-12,133,Thursday,Thursday 12th July 2018,10:30-2,10:30:00,14:00:00,210.0,10:30-2: Colon macrophage isolation trial #1,False,False,True,False,False,not done,True
404,2018-07-12,133,Thursday,Thursday 12th July 2018,10-1:30,10:00:00,13:30:00,210.0,10-1:30: Labelling for Chantal’s endpoint ,True,False,False,False,True,done,False
405,2018-07-12,133,Thursday,Thursday 12th July 2018,2-3,14:00:00,15:00:00,60.0,2-3: PCR for Alex CD04 Air vs Smk HPRT and Cth,True,False,False,False,True,done,False
406,2018-07-12,133,Thursday,Thursday 12th July 2018,,,,,Prep for qPCR tomorrow,True,False,False,False,True,done,False
407,2018-07-12,133,Thursday,Thursday 12th July 2018,4-5,16:00:00,17:00:00,60.0,4-5: SS02 lung histo lesion scoring,True,False,False,False,True,done,False
408,2018-07-13,134,Friday,Friday 13th July 2018,9-5,09:00:00,17:00:00,480.0,"9-5: KB19 Lung protein ELISA IL-18, ",False,False,True,False,False,not done,True
409,2018-07-13,134,Friday,Friday 13th July 2018,9-10,09:00:00,10:00:00,60.0,9-10: Meeting with Khadem about Ferro study and PAO1 growth,True,False,False,False,True,done,False
410,2018-07-13,134,Friday,Friday 13th July 2018,,,,,"Wash-up, PBS aliquots, LN2 for endpoint",True,False,False,False,True,done,False
411,2018-07-13,134,Friday,Friday 13th July 2018,10-2,10:00:00,14:00:00,240.0,10-2: SS02 lung histo lesion scoring,True,False,False,False,True,done,False
412,2018-07-13,134,Friday,Friday 13th July 2018,2-2:30,14:00:00,14:30:00,30.0,2-2:30: Meeting with Phil,False,False,False,False,True,done,False
413,2018-07-13,134,Friday,Friday 13th July 2018,3-5,15:00:00,17:00:00,120.0,3-5: PCR for Bec Vanders,False,False,False,False,True,done,False
415,2018-07-16,137,Monday,Monday 16th July 2018,9-10,09:00:00,10:00:00,60.0,9-10: lab meeting,True,True,False,False,False,done,True
416,2018-07-16,137,Monday,Monday 16th July 2018,,,,,Deliveries,True,True,False,False,False,done,True
417,2018-07-16,137,Monday,Monday 16th July 2018,,,,,PCR Analysis for Bec,True,True,False,False,False,done,True
418,2018-07-16,137,Monday,Monday 16th July 2018,,,,,General organising of things,True,True,False,False,False,done,True
419,2018-07-16,137,Monday,Monday 16th July 2018,10:30-2:30,10:30:00,14:30:00,240.0,10:30-2:30: Protein extractions KB20,True,True,False,False,False,done,True
420,2018-07-16,137,Monday,Monday 16th July 2018,3:30-4:30,15:30:00,16:30:00,60.0,3:30-4:30: Toludine Blue Mast Cell scoring for TJ,True,True,False,False,False,done,True
421,2018-07-16,137,Monday,Monday 16th July 2018,4:30-5,16:30:00,17:00:00,30.0,4:30-5: Shadow Khadem for O/N of PAO1,True,True,False,False,False,done,True
422,2018-07-17,138,Tuesday,Tuesday 17th July 2018,,,,,"Check if on Khadem’s ethics, book hood for known PISA days, wash up",True,False,False,False,True,done,False
423,2018-07-17,138,Tuesday,Tuesday 17th July 2018,9-10,09:00:00,10:00:00,60.0,9-10: Khadem setting up hormone exposure culture PAO1,True,True,False,False,False,done,True
424,2018-07-17,138,Tuesday,Tuesday 17th July 2018,10-12,10:00:00,12:00:00,120.0,10-12: TJ20 Mast Cell Toludine blue stain scoring,True,False,False,False,True,done,False
425,2018-07-17,138,Tuesday,Tuesday 17th July 2018,1-5,13:00:00,17:00:00,240.0,1-5: KB20 RNA extraction lung tissue,True,True,False,False,False,done,True
426,2018-07-18,139,Wednesday,Wednesday 18th July 2018,9-11,09:00:00,11:00:00,120.0,"9-11: Shadow Khadem for exponential phase PAO1 culturing, and intra-nasals",True,True,False,False,False,done,True
427,2018-07-18,139,Wednesday,Wednesday 18th July 2018,,,,,Check @10:30 for cuvette reading,True,True,False,False,False,done,True
428,2018-07-18,139,Wednesday,Wednesday 18th July 2018,10-1,10:00:00,13:00:00,180.0,10-1: TJ20 Mast Cell Toludine blue stain scoring – done!,True,True,False,False,False,done,True
429,2018-07-18,139,Wednesday,Wednesday 18th July 2018,1-3,13:00:00,15:00:00,120.0,1-3: KB20 Lung protein BCA assay,True,True,False,False,False,done,True
430,2018-07-18,139,Wednesday,Wednesday 18th July 2018,3-4,15:00:00,16:00:00,60.0,3-4: Shakti Histo lesion scoring – take more images,True,True,False,False,False,done,True
431,2018-07-18,139,Wednesday,Wednesday 18th July 2018,,,,,Give Bernie’s data to Nicole,True,True,False,False,False,done,True
432,2018-07-19,140,Thursday,Thursday 19th July 2018,8:30-5:30,08:30:00,17:30:00,540.0,8:30-5:30: PISA056 S-C ,True,True,False,False,False,done,True
433,2018-07-19,140,Thursday,Thursday 19th July 2018,,,,,"Fill tips, check RBCLB and PBS levels, wash up",True,True,False,False,False,done,True
434,2018-07-19,140,Thursday,Thursday 19th July 2018,,,,,Make slide boxes and put PISA slides in them,True,False,False,False,True,done,False
435,2018-07-20,141,Friday,Friday 20th July 2018,,,,,Finish counting lesions in SS02 lung histo,True,False,False,False,True,done,False
436,2018-07-20,141,Friday,Friday 20th July 2018,9-12,09:00:00,12:00:00,180.0,"9-12: Test RBCLB properly, take deliveries",True,False,False,False,True,done,False
437,2018-07-20,141,Friday,Friday 20th July 2018,12-1,12:00:00,13:00:00,60.0,12-1: Meeting about Grace’s Mice usage,True,True,False,False,False,done,True
438,2018-07-20,141,Friday,Friday 20th July 2018,1-5,13:00:00,17:00:00,240.0,1-5: GL06 RNA extraction,True,False,False,False,True,done,False
440,2018-07-23,144,Monday,Monday 23rd July 2018,9-10,09:00:00,10:00:00,60.0,9-10: Lab meeting,True,True,False,False,False,done,True
441,2018-07-23,144,Monday,Monday 23rd July 2018,10-2,10:00:00,14:00:00,240.0,10-2: GL06 RT-PCR,True,True,False,False,False,done,True
442,2018-07-23,144,Monday,Monday 23rd July 2018,3-3:30,15:00:00,15:30:00,30.0,3-3:30: RBCLB and PBS aliquots postponed as reagents not autoclaved,False,True,True,False,False,not done,True
443,2018-07-23,144,Monday,Monday 23rd July 2018,,,,,Sort PISA cytospin slides,True,False,False,False,True,done,False
444,2018-07-23,144,Monday,Monday 23rd July 2018,3:30-5,15:30:00,17:00:00,90.0,3:30-5: MMP7 gradient temp curve – also run RV014 A/S vs SS02 A/S HPRT target @ 61C,True,True,False,False,False,done,True
445,2018-07-23,144,Monday,Monday 23rd July 2018,When free,,,,"When free: Get Bernie’s Aperio Data from Aperio Lab – tried, was unable to access, have sent email",False,True,False,True,False,partly done,True
446,2018-07-24,145,Tuesday,Tuesday 24th July 2018,9-6,09:00:00,18:00:00,540.0,9-6: PISA 062 J-C (blood ready at 9:30) Cancelled,False,True,True,False,False,not done,True
447,2018-07-24,145,Tuesday,Tuesday 24th July 2018,,,,,"Fill tips, wash up, make up RBCLB and PBS aliquots, test RBCLB",True,True,False,False,False,done,True
448,2018-07-24,145,Tuesday,Tuesday 24th July 2018,9-11,09:00:00,11:00:00,120.0,"9-11: GL06 qPCR MMP2, MMP7, MMP9",True,True,False,False,False,done,True
449,2018-07-24,145,Tuesday,Tuesday 24th July 2018,,,,,"Investigate alternative suppliers of pneumococcal ab ELISA, called HAPS @ Westmead, sent email",True,False,False,False,True,done,False
450,2018-07-24,145,Tuesday,Tuesday 24th July 2018,2-5,14:00:00,17:00:00,180.0,2-5: KB20 lung protein BCA,True,False,False,False,True,done,False
451,2018-07-24,145,Tuesday,Tuesday 24th July 2018,12-5,12:00:00,17:00:00,300.0,12-5: TJ16 RNA extraction delayed till tomorrow,False,True,True,False,False,not done,True
452,2018-07-25,146,Wednesday,Wednesday 25th July 2018,9-1,09:00:00,13:00:00,240.0,9-1: TJ16 RNA extraction,True,True,False,False,False,done,True
453,2018-07-25,146,Wednesday,Wednesday 25th July 2018,2-5,14:00:00,17:00:00,180.0,2-5: TJ16 RNA extraction pt 2,True,False,False,False,True,done,False
454,2018-07-25,146,Wednesday,Wednesday 25th July 2018,,,,,"Get more quotes for pneumococcal Ab, Laverty Pathology",True,False,False,False,True,done,False
455,2018-07-26,147,Thursday,Thursday 26th July 2018,9-7:30,09:00:00,19:30:00,630.0,9-7:30: PISA069 G-B (blood ready before 12) and PISA065 JDL (blood ready at 9:30 till 10ish),True,True,False,False,False,done,True
456,2018-07-26,147,Thursday,Thursday 26th July 2018,,,,,Make new big PBS bottles and MQW for autoclaving,True,True,False,False,False,done,True
457,2018-07-27,148,Friday,Friday 27th July 2018,7-2,07:00:00,14:00:00,420.0,7-2: Colon macrophage isolation trial #1 can’t do because of PISA,False,True,True,False,False,not done,True
458,2018-07-27,148,Friday,Friday 27th July 2018,,,,,Take down yesterday’s PISA samples from Mr Frosty,True,True,False,False,False,done,True
459,2018-07-27,148,Friday,Friday 27th July 2018,10:30-7,10:30:00,19:00:00,510.0,10:30-7: PISA070 A-M (blood ready at 11-ish),True,False,False,False,True,done,False
460,2018-07-27,148,Friday,Friday 27th July 2018,,,,,Make hood bookings for PISA,True,False,False,False,True,done,False
462,2018-07-30,151,Monday,Monday 30th July 2018,,,,,Take down Friday’s PISA samples from Mr Frosty,True,True,False,False,False,done,True
463,2018-07-30,151,Monday,Monday 30th July 2018,9:30-10:30,09:30:00,10:30:00,60.0,9:30-10:30: Pipette survey,True,False,False,False,True,done,False
464,2018-07-30,151,Monday,Monday 30th July 2018,,,,,PBS aliquots,True,False,False,False,True,done,False
465,2018-07-30,151,Monday,Monday 30th July 2018,,,,,Rack tips from auto-fill thingy – autoclave or put on PCR bench find time to do other two tomorrow,False,True,False,True,False,partly done,True
466,2018-07-30,151,Monday,Monday 30th July 2018,9-10,09:00:00,10:00:00,60.0,9-10: lab meeting,True,True,False,False,False,done,True
467,2018-07-30,151,Monday,Monday 30th July 2018,10:30-12,10:30:00,12:00:00,90.0,10:30-12: GL06 COPD MMP7 PCR,True,True,False,False,False,done,True
468,2018-07-30,151,Monday,Monday 30th July 2018,12-4,12:00:00,16:00:00,240.0,12-4: RV018 RNA extraction,True,True,False,False,False,done,True
469,2018-07-31,152,Tuesday,Tuesday 31st July 2018,9-1,09:00:00,13:00:00,240.0,9-1: RV018 RNA extraction pt 2,True,True,False,False,False,done,True
470,2018-07-31,152,Tuesday,Tuesday 31st July 2018,1-5,13:00:00,17:00:00,240.0,1-5: RV018 RNA extraction pt 3 (final),True,True,False,False,False,done,True
471,2018-07-31,152,Tuesday,Tuesday 31st July 2018,,,,,PBS aliquots,True,False,False,False,True,done,False
472,2018-08-01,153,Wednesday,Wednesday 1st August 2018,11-8,11:00:00,20:00:00,540.0,11-8: PISA066 B-C blood ready at 11:30am Cancelled,False,True,True,False,False,not done,True
473,2018-08-01,153,Wednesday,Wednesday 1st August 2018,,,,,[1 hour of time in lieu],False,True,False,False,False,note,True
474,2018-08-01,153,Wednesday,Wednesday 1st August 2018,10-12,10:00:00,12:00:00,120.0,"10-12: Analyse data from KB20 BCA, GL06 COPD qPCR, and RV018 RNA extractions",True,False,False,False,True,done,False
475,2018-08-01,153,Wednesday,Wednesday 1st August 2018,1-3,13:00:00,15:00:00,120.0,1-3: TJ08 Toludine Blue mast cell hunting,True,False,False,False,True,done,False
476,2018-08-01,153,Wednesday,Wednesday 1st August 2018,3-5,15:00:00,17:00:00,120.0,3-5: Harvesting organs for SS03 FACS panel practice.,True,False,False,False,True,done,False
477,2018-08-01,153,Wednesday,Wednesday 1st August 2018,,,,,Laverty responded. They are not really an option.,True,False,False,False,True,done,False
478,2018-08-02,154,Thursday,Thursday 2nd August 2018,10-6:30,10:00:00,18:30:00,510.0,10-6:30: PISA066 B-C blood ready at 10:30am,True,False,False,False,True,done,False
479,2018-08-02,154,Thursday,Thursday 2nd August 2018,,,,,Check RBCLB and PBS aliquot numbers,True,True,False,False,False,done,True
480,2018-08-02,154,Thursday,Thursday 2nd August 2018,9-2,09:00:00,14:00:00,300.0,9-2: RT-PCR RV018,False,False,True,False,False,not done,True
481,2018-08-02,154,Thursday,Thursday 2nd August 2018,2-5,14:00:00,17:00:00,180.0,2-5: TJ Toludine blue hunting,False,False,True,False,False,not done,True
482,2018-08-03,155,Friday,Friday 3rd August 2018,10:30-6:30,10:30:00,18:30:00,480.0,10:30-6:30: PISA063 C-M (blood ready 11),True,True,False,False,False,done,True
483,2018-08-03,155,Friday,Friday 3rd August 2018,,,,,Call John hunter about Pneumococcal Ab ELISA,True,True,False,False,False,done,True
484,2018-08-06,158,Monday,Monday 6th August 2018,9-1,09:00:00,13:00:00,240.0,9-1: TJ16 RNA extraction pt 3 + RV018 left over sample,True,True,False,False,False,done,True
485,2018-08-06,158,Monday,Monday 6th August 2018,2-5,14:00:00,17:00:00,180.0,2-5: TJ16 RNA extraction pt 4 Anti-PCP ELISA costings,True,True,True,False,True,partly done,False
486,2018-08-07,159,Tuesday,Tuesday 7th August 2018,8:30-5,08:30:00,17:00:00,510.0,8:30-5: PISA045 (blood ready at 9am),True,False,False,False,True,done,False
487,2018-08-07,159,Tuesday,Tuesday 7th August 2018,In between PISA,,,,In between PISA: TJ08 toluidine blue assay,True,False,False,False,True,done,False
488,2018-08-07,159,Tuesday,Tuesday 7th August 2018,1-5,13:00:00,17:00:00,240.0,1-5: TJ16 RT-PCR,False,False,True,False,False,not done,True
489,2018-08-07,159,Tuesday,Tuesday 7th August 2018,3-5,15:00:00,17:00:00,120.0,3-5: TJ16 qPCR or RV014 qPCR repeat (latter is priority but less probable),False,False,True,False,False,not done,True
490,2018-08-08,160,Wednesday,Wednesday 8th August 2018,9-1:30,09:00:00,13:30:00,270.0,9-1:30: RV018 RT-PCR,True,True,False,False,False,done,True
491,2018-08-08,160,Wednesday,Wednesday 8th August 2018,2-3:30,14:00:00,15:30:00,90.0,2-3:30: Meeting with Gang about Mast Cell Lux reporter assay,True,True,False,False,False,done,True
492,2018-08-08,160,Wednesday,Wednesday 8th August 2018,3:30-5,15:30:00,17:00:00,90.0,3:30-5: TJ08 (others) toludine blue assay,True,True,False,False,False,done,True
493,2018-08-09,161,Thursday,Thursday 9th August 2018,9-10:30,09:00:00,10:30:00,90.0,9-10:30: TJ08 toluidine blue assay,True,False,False,False,True,done,False
494,2018-08-09,161,Thursday,Thursday 9th August 2018,9-7:00,09:00:00,19:00:00,600.0,9-7:00: PISA071 (blood ready at 9:30 – now coming in at 11am),True,True,False,False,False,done,True
495,2018-08-09,161,Thursday,Thursday 9th August 2018,11:30-8,11:30:00,20:00:00,510.0,11:30-8: PISA064 RJC (Blood ready at 12pm) cancelled,False,True,True,False,False,not done,True
496,2018-08-10,162,Friday,Friday 10th August 2018,9-6:30,09:00:00,18:30:00,570.0,9-6:30: PISA064 SKS (blood ready at 9am),True,False,False,False,True,done,False
497,2018-08-10,162,Friday,Friday 10th August 2018,9:30-6:30,09:30:00,18:30:00,540.0,9:30-6:30: PISA072 A-B (blood ready at 10am),True,False,False,False,True,done,False
498,2018-08-10,162,Friday,Friday 10th August 2018,3-5,15:00:00,17:00:00,120.0,3-5: TJ08 (others) toludine blue assay,False,False,False,True,False,partly done,True
500,2018-08-13,165,Monday,Monday 13th August 2018,9-12,09:00:00,12:00:00,180.0,9-12: TJ08 and TJ12 toludine blue assay,True,True,False,False,False,done,True
501,2018-08-13,165,Monday,Monday 13th August 2018,,,,,"Washup, PBS buffers and aliquots",True,True,False,False,False,done,True
502,2018-08-13,165,Monday,Monday 13th August 2018,1-5,13:00:00,17:00:00,240.0,"1-5: Gang; PCR of hTryptase 3’ UTR fragments from Mast Cell cDNA, Prepare TAE buffer run gel",True,True,True,False,False,partly done,True
